--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz
CPU type:	Intel Icelake SP processor
CPU clock:	2.39 GHz
--------------------------------------------------------------------------------
Running problem size 250^3 per domain until completion
Num processors: 1
Num threads: 1
Total number of elements: 15625000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

cycle = 285, time = 4.694288e-06, dt=3.237156e-08
cycle = 286, time = 4.726660e-06, dt=3.237156e-08
cycle = 287, time = 4.759031e-06, dt=3.237156e-08
cycle = 288, time = 4.790864e-06, dt=3.183296e-08
cycle = 289, time = 4.822032e-06, dt=3.116732e-08
cycle = 290, time = 4.852605e-06, dt=3.057305e-08
cycle = 291, time = 4.882655e-06, dt=3.004985e-08
cycle = 292, time = 4.912249e-06, dt=2.959439e-08
cycle = 293, time = 4.941459e-06, dt=2.920964e-08
cycle = 294, time = 4.970368e-06, dt=2.890943e-08
cycle = 295, time = 4.999062e-06, dt=2.869350e-08
cycle = 296, time = 5.027641e-06, dt=2.857941e-08
cycle = 297, time = 5.056213e-06, dt=2.857219e-08
cycle = 298, time = 5.084785e-06, dt=2.857219e-08
cycle = 299, time = 5.113358e-06, dt=2.857219e-08
cycle = 300, time = 5.141930e-06, dt=2.857219e-08
Run completed:
   Problem size        =  250
   MPI tasks           =  1
   Iteration count     =  300
   Final Origin Energy =  3.394275e+08
   Testing Plane 0 of Energy Array on rank 0:
        MaxAbsDiff   = 2.700835e-08
        TotalAbsDiff = 3.419201e-07
        MaxRelDiff   = 1.508773e-10

Elapsed time         =      3e+03 (s)
Grind time (us/z/c)  = 0.64555602 (per dom)  ( 3026.0438 overall)
FOM                  =  1549.0522 (z/s)

--------------------------------------------------------------------------------
STRUCT,Info,3
CPU name:,Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz,
CPU type:,Intel Icelake SP processor,
CPU clock:,2.394305323 GHz,
TABLE,Group 1 Raw,MEM_DP,26
Event,Counter,HWThread 0
INSTR_RETIRED_ANY,FIXC0,15740389315212
CPU_CLK_UNHALTED_CORE,FIXC1,6382583567467
CPU_CLK_UNHALTED_REF,FIXC2,6382609778880
TOPDOWN_SLOTS,FIXC3,31912917862645
PWR_PKG_ENERGY,PWR0,296414.5597
PWR_DRAM_ENERGY,PWR3,25079.4797
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,0
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,9513596987195
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,473437500000
FP_ARITH_INST_RETIRED_512B_PACKED_DOUBLE,PMC3,30191737979
CAS_COUNT_RD,MBOX0C0,74566561354
CAS_COUNT_WR,MBOX0C1,25748575284
CAS_COUNT_RD,MBOX1C0,74557121059
CAS_COUNT_WR,MBOX1C1,25747391107
CAS_COUNT_RD,MBOX2C0,0
CAS_COUNT_WR,MBOX2C1,0
CAS_COUNT_RD,MBOX3C0,74568469822
CAS_COUNT_WR,MBOX3C1,25751377892
CAS_COUNT_RD,MBOX4C0,74562510372
CAS_COUNT_WR,MBOX4C1,25751753763
CAS_COUNT_RD,MBOX5C0,0
CAS_COUNT_WR,MBOX5C1,0
CAS_COUNT_RD,MBOX6C0,13482367
CAS_COUNT_WR,MBOX6C1,14658449
CAS_COUNT_RD,MBOX7C0,13189769
CAS_COUNT_WR,MBOX7C1,14223038
TABLE,Group 1 Metric,MEM_DP,20
Metric,HWThread 0,
Runtime (RDTSC) [s],3027.9199,
Runtime unhalted [s],2665.7350,
Clock [MHz],2394.2955,
CPI,0.4055,
Energy [J],296414.5597,
Power [W],97.8938,
Energy DRAM [J],25079.4797,
Power DRAM [W],8.2827,
DP [MFLOP/s],3847.1562,
AVX DP [MFLOP/s],705.1983,
Packed [MUOPS/s],166.3285,
Scalar [MUOPS/s],3141.9579,
Memory read bandwidth [MBytes/s],6304.6600,
Memory read data volume [GBytes],19090.0054,
Memory write bandwidth [MBytes/s],2177.6635,
Memory write data volume [GBytes],6593.7907,
Memory bandwidth [MBytes/s],8482.3235,
Memory data volume [GBytes],25683.7961,
Operational intensity [FLOP/Byte],0.4535,
Vectorization ratio [%],5.0276,
--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8360Y CPU @ 2.40GHz
CPU type:	Intel Icelake SP processor
CPU clock:	2.39 GHz
--------------------------------------------------------------------------------
Running problem size 250^3 per domain until completion
Num processors: 1
Num threads: 2
Total number of elements: 15625000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
