_________
--------------------------------------------------------------------------------
CPU name:	Intel(R) Xeon(R) Platinum 8470
CPU type:	Intel SapphireRapids processor
CPU clock:	2.00 GHz
--------------------------------------------------------------------------------
Running problem size 150^3 per domain until completion
Num processors: 1
Num threads: 1
Total number of elements: 3375000 

To run other sizes, use -s <integer>.
To run a fixed number of iterations, use -i <integer>.
To run a more or less balanced region set, use -b <integer>.
To change the relative costs of regions, use -c <integer>.
To print out progress, use -p
To write an output file for VisIt, use -v
See help (-h) for more options

cycle = 216, time = 1.028369e-05, dt=7.740045e-08
cycle = 217, time = 1.036109e-05, dt=7.740045e-08
cycle = 218, time = 1.043849e-05, dt=7.740045e-08
cycle = 219, time = 1.051589e-05, dt=7.740045e-08
cycle = 220, time = 1.059329e-05, dt=7.740045e-08
cycle = 221, time = 1.068011e-05, dt=8.681805e-08
cycle = 222, time = 1.076693e-05, dt=8.681805e-08
cycle = 223, time = 1.085375e-05, dt=8.681805e-08
cycle = 224, time = 1.094057e-05, dt=8.681805e-08
cycle = 225, time = 1.102738e-05, dt=8.681805e-08
cycle = 226, time = 1.111420e-05, dt=8.681805e-08
cycle = 227, time = 1.120102e-05, dt=8.681805e-08
cycle = 228, time = 1.128784e-05, dt=8.681805e-08
cycle = 229, time = 1.137466e-05, dt=8.681805e-08
cycle = 230, time = 1.146147e-05, dt=8.681805e-08
cycle = 231, time = 1.154829e-05, dt=8.681805e-08
cycle = 232, time = 1.163511e-05, dt=8.681805e-08
cycle = 233, time = 1.172193e-05, dt=8.681805e-08
cycle = 234, time = 1.181774e-05, dt=9.581336e-08
cycle = 235, time = 1.191347e-05, dt=9.572861e-08
cycle = 236, time = 1.200919e-05, dt=9.572379e-08
cycle = 237, time = 1.210492e-05, dt=9.572379e-08
cycle = 238, time = 1.220064e-05, dt=9.572379e-08
cycle = 239, time = 1.229637e-05, dt=9.572379e-08
cycle = 240, time = 1.239209e-05, dt=9.572379e-08
cycle = 241, time = 1.248781e-05, dt=9.572379e-08
cycle = 242, time = 1.258354e-05, dt=9.572379e-08
cycle = 243, time = 1.267926e-05, dt=9.572379e-08
cycle = 244, time = 1.277499e-05, dt=9.572379e-08
cycle = 245, time = 1.286961e-05, dt=9.462829e-08
cycle = 246, time = 1.296235e-05, dt=9.273346e-08
cycle = 247, time = 1.305341e-05, dt=9.105939e-08
cycle = 248, time = 1.314302e-05, dt=8.961420e-08
cycle = 249, time = 1.323141e-05, dt=8.839100e-08
cycle = 250, time = 1.331880e-05, dt=8.738575e-08
cycle = 251, time = 1.340547e-05, dt=8.667520e-08
cycle = 252, time = 1.349175e-05, dt=8.627332e-08
cycle = 253, time = 1.357794e-05, dt=8.619073e-08
cycle = 254, time = 1.366413e-05, dt=8.619073e-08
cycle = 255, time = 1.375032e-05, dt=8.619073e-08
cycle = 256, time = 1.383651e-05, dt=8.619073e-08
cycle = 257, time = 1.392270e-05, dt=8.619073e-08
cycle = 258, time = 1.400889e-05, dt=8.619073e-08
cycle = 259, time = 1.409508e-05, dt=8.619073e-08
cycle = 260, time = 1.419140e-05, dt=9.631954e-08
cycle = 261, time = 1.428772e-05, dt=9.631954e-08
cycle = 262, time = 1.438404e-05, dt=9.631954e-08
cycle = 263, time = 1.448036e-05, dt=9.631954e-08
cycle = 264, time = 1.457668e-05, dt=9.631954e-08
cycle = 265, time = 1.467300e-05, dt=9.631954e-08
cycle = 266, time = 1.477896e-05, dt=1.059621e-07
cycle = 267, time = 1.488492e-05, dt=1.059621e-07
cycle = 268, time = 1.499088e-05, dt=1.059621e-07
cycle = 269, time = 1.509685e-05, dt=1.059621e-07
